conf,server_name,source,status,expires_utc,days
400anni_ateneo.conf,400.unica.it,remote:400.unica.it,EXPIRED 340d,2025-10-03T23:59:59+00:00,-340
400anni_humanities.conf,humanities.unica.it,remote:humanities.unica.it,EXPIRED 297d,2025-11-15T23:59:59+00:00,-297
aiucd.conf,aiucd2026.unica.it,remote:aiucd2026.unica.it,OK 37d,2026-10-16T09:56:24+00:00,37
architettura_dhunica.conf,architettura.dh.unica.it,remote:architettura.dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
archiviostorico.conf,archiviostorico.unica.it,remote:archiviostorico.unica.it,OK 149d,2027-02-05T09:42:41+00:00,149
archivistica_dhunica.conf,archivistica.dh.unica.it,remote:archivistica.dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
arte_dhunica.conf,arte.dh.unica.it,remote:arte.dh.unica.it,NO_CERT,-,-
artemusei_dhunica.conf,artemusei.dh.unica.it,remote:artemusei.dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
asuca_dhunica.conf,asuca.dh.unica.it,remote:asuca.dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
atlante_atliteg.conf,atlante.atliteg.org,remote:atlante.atliteg.org,OK 58d,2026-11-06T07:10:46+00:00,58
cinema_dhunica.conf,cinema.dh.unica.it,remote:cinema.dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
cosmomed.conf,www.cosmomed.org,remote:www.cosmomed.org,OK 80d,2026-11-27T16:01:36+00:00,80
dhunica.conf,dh.unica.it,remote:dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
digitaliststor.conf,www.digitaliststor.it,remote:www.digitaliststor.it,OK 30d,2026-10-08T23:59:10+00:00,30
doc_dhunica.conf,doc.dh.unica.it,remote:doc.dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
docs_dhunica.conf,docs.dh.unica.it,remote:docs.dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
editoria_dhunica.conf,editoria.dh.unica.it,remote:editoria.dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
filologia_dhunica.conf,filologia.dh.unica.it,remote:filologia.dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
geo_dhunica.conf,geo.dh.unica.it,remote:geo.dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
geografia_dhunica.conf,geografia.dh.unica.it,remote:geografia.dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
glossari_dhunica.conf,glossari.dh.unica.it,remote:glossari.dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
letteratura_dhunica.conf,letteratura.dh.unica.it,remote:letteratura.dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
libriebiblioteche_dhunica.conf,libriebiblioteche.dh.unica.it,remote:libriebiblioteche.dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
linguistica_dhunica.conf,linguistica.dh.unica.it,remote:linguistica.dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
ludica_dhunica.conf,ludica.dh.unica.it,remote:ludica.dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
musica_dhunica.conf,musica.dh.unica.it,remote:musica.dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
patrimonio_archiviostorico.conf,patrimonio.archiviostorico.unica.it,remote:patrimonio.archiviostorico.unica.it,OK 149d,2027-02-05T09:42:41+00:00,149
patrimonioweb_archiviostorico.conf,patrimonio-web.archiviostorico.unica.it,remote:patrimonio-web.archiviostorico.unica.it,OK 149d,2027-02-05T09:42:41+00:00,149
risorse.conf,risorse.dh.unica.it,remote:risorse.dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
storia_dhunica.conf,storia.dh.unica.it,remote:storia.dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
studiericerche_dhunica.conf,studiericerche.dh.unica.it,remote:studiericerche.dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
thelastofus.conf,www.thelastofus.it,remote:www.thelastofus.it,NO_CERT,-,-
ticket_dhunica.conf,ticket.dh.unica.it,remote:ticket.dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
xdams_dhunica.conf,xdams.dh.unica.it,remote:xdams.dh.unica.it,OK 155d,2027-02-11T10:12:11+00:00,155
